Country,Population 2024,Area (km2),Density (/km2),Growth Rate,World %,World Rank,Rank,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
India,1441719852,3M,485.0,0.0092,0.1801,1,118,21.2,5.6,13.7,23.8,15.1,82.6
China,1425178782,9.4M,151.0,-0.0003,0.178,2,85,31.7,12.3,22.4,36.8,20.6,73.3
United States,341814420,9.1M,37.0,0.0053,0.0427,3,9,70.4,41.7,56.6,75.0,67.2,142.3
Indonesia,279798049,1.9M,149.0,0.0082,0.035,4,107,26.7,7.7,17.6,33.4,13.5,31.7
Pakistan,245209815,770.9K,318.0,0.0196,0.0306,5,121,18.8,2.8,11.1,17.5,12.9,29.1
Nigeria,229152217,910.8K,252.0,0.0239,0.0286,6,86,31.4,22.1,27.0,37.5,20.6,11.0
Brazil,217637297,8.4M,26.0,0.0056,0.0272,7,91,30.2,7.9,19.5,29.5,22.6,37.2
Bangladesh,174701211,130.2K,1342.0,0.0101,0.0218,8,117,22.5,2.4,12.8,25.7,12.8,33.1
Russia,143957079,16.4M,9.0,-0.0034,0.018,9,89,31.0,10.0,20.9,28.8,28.0,50.6
Mexico,129388467,1.9M,67.0,0.0073,0.0162,11,60,40.2,15.5,28.4,43.4,35.7,45.4
Japan,122631432,364.5K,336.0,-0.0054,0.0153,12,46,46.1,13.4,30.4,53.7,27.8,117.0
Philippines,119106224,298.2K,399.0,0.0151,0.0149,13,88,31.0,7.1,19.6,35.0,16.8,33.3
Egypt,114484252,1M,115.0,0.0157,0.0143,14,119,21.0,3.7,12.7,21.2,16.2,20.0
Vietnam,99497680,313.4K,317.0,0.0065,0.0124,16,103,28.7,9.0,19.2,33.9,14.8,40.5
Iran,89809781,1.6M,55.0,0.0071,0.0112,17,108,26.4,8.5,17.8,22.0,16.3,26.0
Turkey,86260417,783.6K,110.0,0.0052,0.0108,18,70,37.4,13.2,25.8,37.6,30.7,49.0
Germany,83252474,349.4K,238.0,-0.0005,0.0104,19,21,62.2,24.4,44.0,60.8,52.8,120.2
Thailand,71885799,510.9K,141.0,0.0012,0.009,20,79,34.1,11.2,23.1,40.5,18.3,40.8
Tanzania,69419073,885.8K,78.0,0.0294,0.0087,21,116,23.8,8.4,16.4,25.4,16.5,25.9
